Id,Label,meanabund,logmean,clusterId,color
97,f:Un_Eubacterium,0.0008153975284026611,-7.111834798730807,3,#117733
98,f:Bdellovibrionaceae,0.00110727477347235,-6.80585344153693,1,#332288
99,f:Pectobacteriaceae,0.000937937490067107,-6.971827252898209,2,#DDCC77
100,f:Microbulbiferaceae,0.00101037773968942,-6.897431018356926,0,#CC6677
101,f:Hymenobacteraceae,0.000935113779981681,-6.974842346259213,5,#882255
102,f:Lactobacillaceae,0.00100642802004421,-6.901347830549346,5,#882255
103,f:Nitrosomonadaceae,0.0009707395832477641,-6.937452320033028,20,#000000
104,f:Zoogloeaceae,0.0009638535259424689,-6.944571218941476,20,#000000
105,f:Neisseriaceae,0.0009020845112435961,-7.010802349115863,0,#CC6677
106,f:Balneolaceae,0.000983252176726158,-6.924644932847373,0,#CC6677
107,f:Thermaceae,0.000993830687485738,-6.913943700337662,0,#CC6677
