Id,Label,meanabund,logmean,clusterId,color
130,f:Halomonadaceae,0.043835098658403,-3.1273204432676525,0,#CC6677
131,f:Kangiellaceae,0.000769266395309434,-7.17007323061982,4,#88CCEE
132,f:Oceanospirillaceae,0.00620145380998283,-5.0829715289374136,5,#882255
133,f:Saccharospirillaceae,0.0008283522364563611,-7.096072087690379,5,#882255
134,f:Pasteurellaceae,0.00157327052264466,-6.4545986908975745,1,#332288
135,f:Moraxellaceae,0.0712916690079091,-2.6409758025975516,9,#CCEEFF
136,f:Pseudomonadaceae,0.0555750586182348,-2.8900207643733724,0,#CC6677
137,f:Francisellaceae,0.000352142655920902,-7.9514741919643335,8,#AA4499
138,f:Piscirickettsiaceae,0.00336425790913777,-5.69454787240899,4,#88CCEE
139,f:Vibrionaceae,0.0125746038626286,-4.376076065470377,1,#332288
140,f:Rhodanobacteraceae,0.000783026228272479,-7.152344365379343,0,#CC6677
141,f:Xanthomonadaceae,0.00585971066754511,-5.139655050751219,3,#117733
142,f:Un_Flavobacteriia,,,2,#DDCC77
143,f:Leptospiraceae,0.000737771175935369,-7.211876841150423,3,#117733
144,f:Spirochaetaceae,0.000418615293290232,-7.7785582142426914,7,#999933
145,f:Opitutaceae,0.00042135578898973704,-7.77203297669294,4,#88CCEE
146,f:Puniceicoccaceae,0.00105505362117548,-6.854163687586944,3,#117733
147,f:Akkermansiaceae,0.000596487161068596,-7.4244528404323,10,#CCDDAA
148,f:Rubritaleaceae,0.00147508762483051,-6.519037884290108,0,#CC6677
149,f:Verrucomicrobiaceae,0.00065512826871972,-7.330679511394791,0,#CC6677
150,f:Un_Rhodobacterales,,,2,#DDCC77
151,f:Un_Burkholderiales,,,2,#DDCC77
152,f:Weeksellaceae,,,2,#DDCC77
153,f:Un_Nitrosomonadales,,,2,#DDCC77
154,f:Un_Alteromonadales,,,2,#DDCC77
155,f:Un_Gammaproteobacteria,,,2,#DDCC77
156,f:Maricaulaceae,,,2,#DDCC77
157,f:Parvibaculaceae,,,2,#DDCC77
158,f:Un_Ruthia,0.000430239607129265,-7.751168278587347,4,#88CCEE
159,f:Un_Rhodospirillales,0.00110874055956812,-6.8045305388587,9,#CCEEFF
