"","family","location","mean.loc.abund"
"88","f:Methanospirillaceae","Ningaloo",0.000214021189323384
"89","f:Methanospirillaceae","Philippines",2.82870232931715e-05
"90","f:Methanospirillaceae","Tanzania",2.68946636862015e-05
"91","f:Methanosarcinaceae","Cancun",9.98234670419162e-05
"92","f:Methanosarcinaceae","Lapaz",0.000163058157128217
"93","f:Methanosarcinaceae","Ningaloo",0.000911949121003722
"94","f:Methanosarcinaceae","Philippines",0.000162076491023049
"95","f:Methanosarcinaceae","Tanzania",0.000141754522956228
"96","f:Methanotrichaceae","Cancun",2.12848879536779e-05
"97","f:Methanotrichaceae","Lapaz",3.0485292315359e-05
"98","f:Methanotrichaceae","Ningaloo",0.000338727694404064
"99","f:Methanotrichaceae","Philippines",2.2210433450419e-05
"100","f:Methanotrichaceae","Tanzania",2.73399113554887e-05
"101","f:Methanopyraceae","Cancun",1.52590944973095e-05
"102","f:Methanopyraceae","Lapaz",3.9529786404595e-05
"103","f:Methanopyraceae","Ningaloo",0.000227089717287699
"104","f:Methanopyraceae","Philippines",3.07261488211028e-05
"105","f:Methanopyraceae","Tanzania",3.67759940034149e-05
"106","f:Thermococcaceae","Cancun",0.000130895825230547
"107","f:Thermococcaceae","Lapaz",0.000140915437172193
"108","f:Thermococcaceae","Ningaloo",0.000856952702403904
"109","f:Thermococcaceae","Philippines",0.00014310098215645
"110","f:Thermococcaceae","Tanzania",0.000138600265986789
"111","f:Ferroplasmaceae","Cancun",3.12025403874488e-06
"112","f:Ferroplasmaceae","Lapaz",5.27393313251171e-06
"113","f:Ferroplasmaceae","Ningaloo",0.000179926149309556
"114","f:Ferroplasmaceae","Philippines",8.08178679872078e-06
"115","f:Ferroplasmaceae","Tanzania",7.43328810541207e-06
"116","f:Picrophilaceae","Cancun",1.68099549269856e-06
"117","f:Picrophilaceae","Lapaz",2.39835701194105e-05
"118","f:Picrophilaceae","Ningaloo",0.000335813022079524
"119","f:Picrophilaceae","Philippines",6.58026757238369e-06
"120","f:Picrophilaceae","Tanzania",1.2599601232374e-05
"121","f:Thermoplasmataceae","Cancun",1.42227779588879e-05
"122","f:Thermoplasmataceae","Lapaz",2.32859256759781e-05
"123","f:Thermoplasmataceae","Ningaloo",0.000430559295612473
"124","f:Thermoplasmataceae","Philippines",2.43082960961815e-05
"125","f:Thermoplasmataceae","Tanzania",2.74908516117252e-05
"126","f:Nanoarchaeaceae","Cancun",1.30745199020244e-06
"127","f:Nanoarchaeaceae","Lapaz",3.50522186525363e-06
"128","f:Nanoarchaeaceae","Ningaloo",3.64038083363507e-05
"129","f:Nanoarchaeaceae","Philippines",2.49027345063237e-06
"130","f:Nanoarchaeaceae","Tanzania",1.12116377463723e-05
"131","f:Nitrosopumilaceae","Cancun",5.27196979137438e-05
"132","f:Nitrosopumilaceae","Lapaz",0.000194203452388559
"133","f:Nitrosopumilaceae","Ningaloo",0.0087954140827576
"134","f:Nitrosopumilaceae","Philippines",0.000316296860844773
"135","f:Nitrosopumilaceae","Tanzania",0.000129555801413514
"136","f:Un_Thermobaculum","Cancun",2.82757006127311e-05
"137","f:Un_Thermobaculum","Lapaz",0.000104330256752088
"138","f:Un_Thermobaculum","Ningaloo",0.000476149156080873
"139","f:Un_Thermobaculum","Philippines",7.21524730014526e-05
"140","f:Un_Thermobaculum","Tanzania",9.4453916433303e-05
"141","f:Un_SR1 bacterium MGEHA","Cancun",1.58492570819235e-07
"142","f:Un_SR1 bacterium MGEHA","Lapaz",4.2021494033506e-06
"143","f:Un_SR1 bacterium MGEHA","Ningaloo",1.85145123502235e-06
"144","f:Un_SR1 bacterium MGEHA","Philippines",1.02739253612592e-06
"145","f:Un_SR1 bacterium MGEHA","Tanzania",8.82106485114172e-07
"146","f:Acidobacteriaceae","Cancun",0.000236167751028766
"147","f:Acidobacteriaceae","Lapaz",0.000441882415744857
"148","f:Acidobacteriaceae","Ningaloo",0.000853556622396811
"149","f:Acidobacteriaceae","Philippines",0.000439092005547627
"150","f:Acidobacteriaceae","Tanzania",0.000401505095449039
"151","f:Solibacteraceae","Cancun",0.000698575638773401
"152","f:Solibacteraceae","Lapaz",0.000592111713541011
"153","f:Solibacteraceae","Ningaloo",0.000879845961386521
"154","f:Solibacteraceae","Philippines",0.000763304605426196
"155","f:Solibacteraceae","Tanzania",0.00056220625749087
"156","f:Un_Chloracidobacterium","Cancun",1.75178056555038e-05
"157","f:Un_Chloracidobacterium","Lapaz",2.21916287526649e-05
"158","f:Un_Chloracidobacterium","Ningaloo",7.06052348560526e-05
